Solved,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
Y,EASY,Two Sum,100.0,0.557769945892896,https://leetcode.com/problems/two-sum,"Array, Hash Table"
N,MEDIUM,Add Two Numbers,75.2,0.4622507658063209,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
N,HARD,Trapping Rain Water,73.7,0.6510193676088248,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
N,HARD,Median of Two Sorted Arrays,73.2,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
N,MEDIUM,Longest Substring Without Repeating Characters,70.1,0.36936167568169936,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
N,EASY,Longest Common Prefix,70.0,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
N,EASY,Valid Parentheses,66.7,0.42322820646682113,https://leetcode.com/problems/valid-parentheses,"String, Stack"
N,MEDIUM,Longest Consecutive Sequence,66.2,0.47040828018665215,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
Y,MEDIUM,Maximum Subarray,63.1,0.5209978267392302,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
N,MEDIUM,Rotate Image,57.8,0.7790164518819447,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
N,MEDIUM,Search in Rotated Sorted Array,57.7,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
Y,EASY,Reverse Linked List,56.7,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
N,MEDIUM,4Sum,56.4,0.38219020113793045,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
N,MEDIUM,Jump Game,55.8,0.39479197867291327,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
Y,MEDIUM,Group Anagrams,55.4,0.7092881706911216,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
N,HARD,Find Median from Data Stream,55.4,0.5327816407313548,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
N,EASY,Pascal's Triangle,55.4,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
N,EASY,Single Number,55.4,0.7596882403268375,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
